question_id,question_text,literature_area,source_key,coverage_role,geography,sample_period,event_definition,signals_or_variables,spatial_measure,method,author_reported_finding,author_reported_limitation,page_or_section,doi_or_url,metadata_status
"Q11","What temporal windows and conditioning variables are used in flood-event studies?","barometric mechanism","FordeEtAl2019","indirect_empirical","Controlled vadose-zone release site","Five-day injection and 24-day monitoring","Surface breakthrough from a known subsurface gas release","Sub-daily pressure change, precipitation, temperature and gas flux","One experimental site","Controlled time-series experiment","Surface response to pressure decline occurred within less than a day.","The timing is conditioned by site geology and cannot be assigned unchanged to Kerkrade.","Monitoring results; meteorological-control discussion","10.1038/s41598-019-50426-3","verified_publisher_and_crossref"
"Q06","What rainfall and runoff characteristics were reported for July 2021 in Limburg and nearby basins?","Limburg and July 2021","TsiokanosEtAl2024","direct_empirical","Geul catchment, Netherlands","1970 to August 2021","High-flow events in 15-minute Meerssen discharge; July 2021 analysed separately","Discharge, precipitation, soil moisture and climate indices","One transboundary tributary catchment","Long-record event, seasonality and trend analysis","July 2021 combined exceptional prolonged rainfall and wet initial conditions; observed flow was about 55 m³/s and reconstructed above 80 m³/s.","The July peak is affected by measurement and rating-curve uncertainty.","§§2–3; July 2021 discussion","10.5194/hess-28-3327-2024","verified_publisher_and_crossref"
"Q08","How are recent rainfall totals related to flood response?","Limburg and July 2021","TsiokanosEtAl2024","direct_empirical","Geul catchment, Netherlands","1970 to August 2021","Historical high-flow events","24-hour and prolonged rainfall; discharge","Catchment scale","Event comparison","Extreme 24-hour rainfall alone did not invariably generate an extreme discharge; prolonged rainfall mattered for large responses.","A single catchment and uncertain extreme discharge limit geographic interpretation.","Event-comparison results and discussion","10.5194/hess-28-3327-2024","verified_publisher_and_crossref"
"Q09","How do antecedent wetness, snow or baseflow condition flood response?","Limburg and July 2021","TsiokanosEtAl2024","direct_empirical","Geul catchment, Netherlands","1970 to August 2021","Historical high-flow events","Antecedent precipitation and soil moisture","Catchment scale","Event comparison","Wet initial catchment conditions were important in the largest Geul responses.","Soil-moisture products do not observe every relevant catchment storage.","§3; discussion","10.5194/hess-28-3327-2024","verified_publisher_and_crossref"
"Q21","How do rating curves, gauge failure and censoring affect high-flow observations?","Limburg and July 2021","TsiokanosEtAl2024","direct_empirical","Geul at Meerssen, Netherlands","July 2021 within 1970–2021 record","July 2021 high flow","Observed and reconstructed discharge","One gauge/catchment","Hydrological reconstruction and comparison","The recorded July value did not capture the inferred full peak, which the authors estimated above 80 m³/s.","The reconstruction is uncertain and is not equivalent to an observed exact peak.","July 2021 results and limitations","10.5194/hess-28-3327-2024","verified_publisher_and_crossref"
"Q06","What rainfall and runoff characteristics were reported for July 2021 in Limburg and nearby basins?","July 2021 regional event","MohrEtAl2023","direct_empirical","Western Germany and neighbouring central Europe","12–19 July 2021","Meteorological and hydrological July 2021 event sequence","Rain gauge, radar, reanalysis, discharge, field and impact evidence","Multiple affected catchments and regional storm footprint","Multidisciplinary event reconstruction","Local rainfall reached about 150 mm in 15–18 hours and produced rapid runoff in steep, wet catchments.","Rainfall estimates differ in complex terrain and several peak flows required reconstruction.","§§2–4; Tables 2–4; Figs. 3–13","10.5194/nhess-23-525-2023","verified_publisher_and_crossref"
"Q07","What measurement and reconstruction uncertainties affect the July 2021 record?","July 2021 regional event","MohrEtAl2023","direct_empirical","Western Germany and neighbouring central Europe","12–19 July 2021","Damaged, exceeded or altered high-flow gauges during July 2021","Stage, discharge, surveyed evidence and cross-section conditions","Multiple affected gauges","Hydraulic and post-event reconstruction","Gauge destruction, rating extrapolation, backwater and changed channels made several peaks uncertain; some estimates carry roughly 15–20% uncertainty.","Reconstructions may be revised as new evidence becomes available.","Hydrological reconstruction and uncertainty discussion","10.5194/nhess-23-525-2023","verified_publisher_and_crossref"
"Q21","How do rating curves, gauge failure and censoring affect high-flow observations?","July 2021 regional event","MohrEtAl2023","direct_empirical","Western Germany and neighbouring central Europe","12–19 July 2021","Exceptional flows exceeding or interrupting normal gauge operation","Rating curves, backwater, channel change and failure","Gauge and catchment scale","Observation audit and reconstruction","Exceptional conditions invalidated ordinary gauge assumptions at some sites, so reconstructed peaks were separated from direct observations.","The full peak timing and magnitude are not exactly observed where gauges failed or controls changed.","Gauge-specific event description; uncertainty section","10.5194/nhess-23-525-2023","verified_publisher_and_crossref"
"Q06","What rainfall and runoff characteristics were reported for July 2021 in Limburg and nearby basins?","July 2021 regional event","LudwigEtAl2023","direct_empirical","Western Europe; detailed western-German catchments","July 2021 with historical comparison","July 2021 rainfall and reconstructed high flows","Rainfall, discharge, historical accounts and scenario climate fields","Ten gauges and regional atmospheric domain","Historical analysis and coupled event-storyline modelling","July 2021 was exceptional but had historical analogues; rainfall and peak response varied by catchment.","Several peak flows were reconstructed and historical documentary records are incomplete.","Historical comparison and hydrological sections","10.5194/nhess-23-1287-2023","verified_publisher_and_crossref"
"Q07","What measurement and reconstruction uncertainties affect the July 2021 record?","July 2021 regional event","LudwigEtAl2023","direct_empirical","Western Europe; detailed western-German catchments","July 2021","Reconstructed extreme flow at ten gauges","Gauge data, hydraulic evidence and hydrological-model output","Gauge and catchment scale","Historical and modelling comparison","The study distinguishes reconstructed peaks from measured values and propagates scenario rainfall through hydrological models.","High-flow calibration, initial conditions and model structure affect simulated peaks.","Methods; hydrological-model discussion","10.5194/nhess-23-1287-2023","verified_publisher_and_crossref"
"Q10","How do flood-generating mechanisms vary by region and season?","July 2021 regional event","LudwigEtAl2023","direct_empirical","Western Europe","Historical period and July 2021 scenarios","July 2021 event under observed and warmer conditions","Atmospheric circulation, temperature, rainfall and catchment response","Regional atmosphere and individual catchments","Pseudo-global-warming and hydrological simulations","A roughly +2 K storyline produced about 18% more areal rainfall and about 39% more simulated Ahr peak flow, with differing catchment responses.","The storyline does not sample changes in circulation or event frequency.","Scenario and hydrological results; Figs. 4–12","10.5194/nhess-23-1287-2023","verified_publisher_and_crossref"
"Q06","What rainfall and runoff characteristics were reported for July 2021 in Limburg and nearby basins?","July 2021 attribution","TradowskyEtAl2023","direct_empirical","Ahr–Erft and larger Meuse-region domains","July 2021 with historical and model counterfactuals","One- and two-day extreme rainfall over moving spatial windows","Observed and simulated extreme rainfall","Defined regional moving windows","Probabilistic event attribution","July rainfall was rare at a location and human-caused warming increased its likelihood and intensity within reported uncertainty ranges.","The study attributes rainfall, not discharge, onset or damage.","Event definition; attribution-results sections","10.1007/s10584-023-03502-7","verified_publisher_and_crossref"
"Q22","Which atmospheric variables accompany extreme rainfall and flash-flood occurrence?","July 2021 attribution","TradowskyEtAl2023","direct_empirical","Ahr–Erft and larger Meuse-region domains","July 2021 with historical and model counterfactuals","One- and two-day extreme rainfall","Temperature-conditioned rainfall extremes","Regional moving windows","Multi-model attribution","Warmer conditions were associated with increased intensity and probability of the defined heavy-rainfall event.","Rarity, spatial dependence and model differences widen attribution uncertainty.","Observational and model methods; uncertainty synthesis","10.1007/s10584-023-03502-7","verified_publisher_and_crossref"
"Q06","What rainfall and runoff characteristics were reported for July 2021 in Limburg and nearby basins?","Limburg water system","AsselmanVanHeeringen2023","local_context","South Limburg, Netherlands","July 2021 with system scenarios","Two-day regional high-water event","Rainfall, runoff, storage, inundation and hydraulic levels","Regional streams, hillslopes and urban water system","Observed-data synthesis and hydrological/hydraulic modelling","The report estimated that roughly 30% of event rainfall discharged through streams and the remainder was retained, infiltrated or stored temporarily.","Rainfall fields, local obstructions and model structure create uncertainty.","Executive summary; rainfall and water-balance chapters","https://kennisbank.deltares.nl/pub/Details/fullCatalogue/300078862","verified_official_record"
"Q08","How are recent rainfall totals related to flood response?","Limburg water system","AsselmanVanHeeringen2023","local_context","South Limburg, Netherlands","July 2021","Two-day rainfall and catchment-system response","Rainfall accumulation, runoff and storage","Regional water-system units","Water balance and model scenarios","Two-day accumulation generated runoff through interacting slope, soil, stream and urban-system pathways.","Modelled partitioning is not direct observation at every pathway.","Rainfall, system-functioning and water-balance chapters","https://kennisbank.deltares.nl/pub/Details/fullCatalogue/300078862","verified_official_record"
"Q09","How do antecedent wetness, snow or baseflow condition flood response?","Limburg water system","AsselmanVanHeeringen2023","local_context","South Limburg, Netherlands","July 2021","Regional high-water event","Soil storage, infiltration, runoff and antecedent state","Regional water-system units","Hydrological and hydraulic system analysis","Available storage and infiltration conditioned the partitioning of rainfall during the event.","The spatial distribution of soil and urban-system states is imperfectly observed.","System-functioning chapters and scenarios","https://kennisbank.deltares.nl/pub/Details/fullCatalogue/300078862","verified_official_record"
"Q07","What measurement and reconstruction uncertainties affect the July 2021 record?","July 2021 measurement","SaadiEtAl2023","direct_empirical","Seven western-German catchments","July 2021","Simulated event hydrographs and peaks under alternative rainfall products","Seven radar QPEs and two hydrological models","Seven catchments","Rainfall-product and model-ensemble sensitivity analysis","Plausible precipitation and peak-flow estimates varied substantially by radar product, model and catchment.","No reliable event peak observations were available for validating the simulated peaks.","§§2.1–2.5; Figs. 3–10","10.5194/nhess-23-159-2023","verified_publisher_and_crossref"
"Q20","What are the relevant characteristics and limitations of RADOLAN/RADKLIM rainfall products?","July 2021 measurement","SaadiEtAl2023","direct_empirical","Seven western-German catchments","July 2021","Event rainfall fields used as model forcing","Seven radar quantitative-precipitation estimates","Catchment-average rainfall","Radar-product and hydrological-model intercomparison","Products without adequate vertical-profile correction tended to underestimate heavy precipitation; product performance was catchment dependent.","Radar correction and terrain effects remain uncertain.","Precipitation-product comparison; discussion","10.5194/nhess-23-159-2023","verified_publisher_and_crossref"
"Q21","How do rating curves, gauge failure and censoring affect high-flow observations?","July 2021 measurement","SaadiEtAl2023","direct_empirical","Seven western-German catchments","July 2021","Unobserved exceptional peak flows","Simulated discharge under rainfall/model ensembles","Catchment outlets","Hydrological ensemble reconstruction","Parameterization uncertainty could exceed rainfall-product spread, and ordinary-flow fit did not guarantee agreement during the extreme.","All catchments were regulated and event peak observations were unavailable.","Peak-flow results and limitations","10.5194/nhess-23-159-2023","verified_publisher_and_crossref"
"Q07","What measurement and reconstruction uncertainties affect the July 2021 record?","Meuse extremes","RongenEtAl2024","methodological","Meuse basin","Historical records and expert assessments available to 2024","Rare discharge quantiles","Gauge records, expert quantiles and correlations","Meuse main stem and tributaries","Classical Model structured expert judgement combined with GEV estimates","Measurements were more informative for frequent flows and elicited distributions added information in the far tail.","Extreme judgements and correlations are difficult to validate and depend on elicitation design.","§§2–4; Tables 1–5","10.5194/hess-28-2831-2024","verified_publisher_and_crossref"
"Q12","How is spatial synchrony of high flows defined and measured?","Meuse extremes","RongenEtAl2024","methodological","Meuse basin","Historical records and expert assessments available to 2024","Joint rare discharges at Meuse locations","Marginal extremes and elicited correlations","Main-stem and tributary locations","Structured expert judgement and multivariate combination","The analysis represents dependence through elicited correlations combined with statistical extreme-flow distributions.","Dependence in the far tail cannot be directly validated from the short record.","Dependence elicitation and combination equations","10.5194/hess-28-2831-2024","verified_publisher_and_crossref"
"Q21","How do rating curves, gauge failure and censoring affect high-flow observations?","Meuse extremes","RongenEtAl2024","methodological","Meuse basin","Historical records and expert assessments available to 2024","Extreme discharge quantiles","Observed discharge and rating-curve knowledge","Multiple Meuse locations","GEV fitting and structured elicitation","Experts identified incomplete and inaccurate rating curves as an important limitation for exceptional discharges.","The combined distributions remain judgement-based in the unobserved tail.","Measurement and expert discussion","10.5194/hess-28-2831-2024","verified_publisher_and_crossref"
"Q10","How do flood-generating mechanisms vary by region and season?","flood-generating processes","MerzBloeschl2003","methodological","Austria","1971–1997","Annual maximum floods classified into five process types","Long rain, short rain, flash flood, rain on snow and snowmelt indicators","Regional process maps","Hydrometeorological classification with expert interpretation","Long-rain, short-rain, flash, rain-on-snow and snowmelt floods had distinct regional and seasonal patterns.","Mixed mechanisms and judgement make discrete labels an approximation.","§§2–4; process table and maps","10.1029/2002WR001952","verified_publisher_and_crossref"
"Q14","How do storm, catchment and land-surface properties affect flood spatial extent?","flood-generating processes","MerzBloeschl2003","methodological","Austria","1971–1997","Annual maximum floods","Process type, season and catchment region","Regional distribution of process types","Process typology and mapping","Process information explained geographic flood differences not represented by peak magnitude alone.","The Austrian annual-maximum sample does not specify a Limburg distance function.","Regional maps and discussion","10.1029/2002WR001952","verified_publisher_and_crossref"
"Q09","How do antecedent wetness, snow or baseflow condition flood response?","flood-generating processes","BerghuijsEtAl2016","direct_empirical","420 minimally disturbed United States catchments","At least 20 years per catchment","Annual maximum discharge","Precipitation, excess rainfall, snowmelt and rain on snow","National catchment map","Comparison of flood timing with candidate mechanisms","Antecedent storage influenced whether precipitation and snow inputs became annual floods.","Daily gridded data cannot resolve all sub-daily or mixed mechanisms.","Data and mechanism definitions; national maps","10.1002/2016GL068070","verified_publisher_and_crossref"
"Q10","How do flood-generating mechanisms vary by region and season?","flood-generating processes","BerghuijsEtAl2016","direct_empirical","420 minimally disturbed United States catchments","At least 20 years per catchment","Annual maximum discharge","Rainfall, excess rainfall, snowmelt and rain on snow","National catchment map","Mechanism attribution from seasonal timing","Dominant generating mechanisms differed markedly among hydroclimatic regions and seasons.","Process attribution relies on conceptual indicators and U.S. conditions.","Mechanism maps; seasonal results","10.1002/2016GL068070","verified_publisher_and_crossref"
"Q10","How do flood-generating mechanisms vary by region and season?","event typology","TarasovaEtAl2020","direct_empirical","392 German catchments","Study record reported in article","Approximately 180,000 separated runoff events","Precipitation structure, snow, frozen soil and soil moisture","Six regional hydroclimatic groupings","Process-informed clustering and classification","Event-type prevalence varied across German regions and seasons.","Discrete clusters simplify overlapping processes and inherit gridded-input uncertainty.","§§2–4; type maps","10.1029/2019WR026951","verified_publisher_and_crossref"
"Q15","How are regional flood events and their spatial footprints constructed?","event typology","TarasovaEtAl2020","methodological","392 German catchments","Study record reported in article","Runoff events separated from continuous records","Dimensionless precipitation space-time and catchment-state descriptors","Catchment-level event comparison across Germany","Event separation, feature construction and clustering","A common event representation allowed comparison of precipitation and antecedent conditions across catchments.","Event separation and clustering choices affect membership and type assignment.","§§2.2–2.5","10.1029/2019WR026951","verified_publisher_and_crossref"
"Q17","How can threshold exceedances be declustered into approximately independent episodes?","event typology","TarasovaEtAl2020","methodological","392 German catchments","Study record reported in article","Runoff episodes separated from continuous time series","Runoff and precipitation timing","Within-catchment event separation","Hydrograph-based event separation","The study constructs discrete episodes before comparing event characteristics.","Separation parameters can split long events or combine nearby events.","Event-identification methods","10.1029/2019WR026951","verified_publisher_and_crossref"
"Q09","How do antecedent wetness, snow or baseflow condition flood response?","regional flood controls","BrunnerDougherty2022","direct_empirical","Contiguous United States","Study gauge period reported in article","Local versus spatially co-occurring regional floods","Soil moisture, snowmelt and storm type","Event co-occurrence across gauges","Event classification and process comparison","Wet antecedent and snow-related conditions were more consistently associated with regional than local floods.","Results depend on event definitions and large-scale land-surface products.","Event definitions; Figs. 5–11","10.1029/2022WR033249","verified_publisher_and_crossref"
"Q14","How do storm, catchment and land-surface properties affect flood spatial extent?","regional flood controls","BrunnerDougherty2022","direct_empirical","Contiguous United States","Study gauge period reported in article","Local versus regional flood occurrence","Storm type, antecedent wetness and snow","Network co-occurrence class","Regional and seasonal comparison","Antecedent conditions distinguished local from regional floods more consistently than storm type.","The U.S. network and hydroclimate differ from South Limburg.","Figs. 3 and 5–11; discussion","10.1029/2022WR033249","verified_publisher_and_crossref"
"Q15","How are regional flood events and their spatial footprints constructed?","regional flood controls","BrunnerDougherty2022","methodological","Contiguous United States","Study gauge period reported in article","Floods classified by spatial co-occurrence","Gauge exceedance timing","Local versus regional network footprint","Cross-gauge event classification","The paper creates separate local and regional event classes from gauge co-occurrence.","Class membership changes with the network and co-occurrence rule.","Methods; event-class definition","10.1029/2022WR033249","verified_publisher_and_crossref"
"Q09","How do antecedent wetness, snow or baseflow condition flood response?","European flood mechanisms","JiangEtAl2022","direct_empirical","Approximately 1,000 European catchments","53,968 annual flood events","Annual maximum river flood","Recent precipitation, antecedent precipitation and snowmelt","Catchment network across Europe","Explainable machine-learning attribution","Recent precipitation combined with antecedent wetness was a leading driver combination for roughly one-third of events.","Feature attribution describes a fitted model and omits unrepresented processes.","§§2.2–2.4; Figs. 2–7","10.5194/hess-26-6339-2022","verified_publisher_and_crossref"
"Q10","How do flood-generating mechanisms vary by region and season?","European flood mechanisms","JiangEtAl2022","direct_empirical","Approximately 1,000 European catchments","53,968 annual flood events","Annual maximum river flood","Recent precipitation, antecedent precipitation and snowmelt","Catchment network across Europe","Explainable machine-learning attribution","More than half of events involved driver combinations, and mechanism prevalence varied regionally and seasonally.","Annual maxima omit secondary threshold events and gridded drivers carry uncertainty.","Mechanism maps and change results","10.5194/hess-26-6339-2022","verified_publisher_and_crossref"
"Q08","How are recent rainfall totals related to flood response?","rainfall-runoff events","ZhengEtAl2023","direct_empirical","Great Britain","Large national record reported in article","Events separated from continuous rainfall and flow","Rainfall depth, hourly intensity, duration and runoff response","Catchment-level national comparison","Event separation and multivariable statistical comparison","Rainfall depth and intensity had different relationships with runoff characteristics across catchments and seasons.","Event definitions and national gridded rainfall influence the estimated relationships.","Data and event separation; Table 3; §3.3","10.1029/2022WR033226","verified_publisher_and_crossref"
"Q09","How do antecedent wetness, snow or baseflow condition flood response?","rainfall-runoff events","ZhengEtAl2023","direct_empirical","Great Britain","Large national record reported in article","Events separated from continuous rainfall and flow","Antecedent soil moisture and pre-event baseflow","Catchment-level national comparison","Multivariable event analysis","Antecedent soil moisture and baseflow conditioned event runoff, with spatial and seasonal variation.","Catchment states are estimated and do not resolve within-catchment heterogeneity.","Table 3; §3.3; result maps","10.1029/2022WR033226","verified_publisher_and_crossref"
"Q11","What temporal windows and conditioning variables are used in flood-event studies?","rainfall-runoff events","ZhengEtAl2023","methodological","Great Britain","Large national record reported in article","Separated rainfall-runoff events","Event rainfall depth, maximum hourly intensity, duration, soil moisture and pre-event baseflow","Catchment-level national comparison","Hydrograph/rainfall event separation and descriptor construction","The study represents forcing and antecedent state with separate event-level descriptors.","Separation and antecedent-window choices affect the event sample.","Methods and variable definitions","10.1029/2022WR033226","verified_publisher_and_crossref"
"Q10","How do flood-generating mechanisms vary by region and season?","Mediterranean flood processes","TramblayEtAl2023","direct_empirical","98 southern-France gauges","1959–2021; about 50 years per station on average","5,317 peaks-over-threshold floods","Rainfall, soil moisture, hydrograph and season","Regional station network","POT sampling, process classification and trend analysis","Flood processes and seasonality differed across the region and changed non-uniformly among catchments.","Type overlap and indirect soil-moisture estimates add uncertainty.","§§2–4; Figs. 3–8","10.5194/hess-27-2973-2023","verified_publisher_and_crossref"
"Q16","What is gained and assumed when using peaks over threshold rather than annual maxima?","Mediterranean flood processes","TramblayEtAl2023","methodological","98 southern-France gauges","1959–2021","POT sample averaging about one event per year","Threshold discharge and event descriptors","Station and regional samples","POT event construction","The POT design retained 5,317 events for process and seasonality comparisons across 98 stations.","Threshold selection affects membership and trend detection.","§2; POT definition","10.5194/hess-27-2973-2023","verified_publisher_and_crossref"
"Q17","How can threshold exceedances be declustered into approximately independent episodes?","Mediterranean flood processes","TramblayEtAl2023","methodological","98 southern-France gauges","1959–2021","POT exceedances separated by an area-dependent interval and runoff recession","Time gap, catchment area and hydrograph recession","Within-station declustering","Rule-based declustering","The study used an independence gap of 5 + log(catchment area) days together with a recession condition.","Different independence rules can change the retained events.","§2 event definition","10.5194/hess-27-2973-2023","verified_publisher_and_crossref"
"Q20","What are the relevant characteristics and limitations of RADOLAN/RADKLIM rainfall products?","extreme precipitation","MeyerEtAl2022","direct_empirical","Central western Europe","1981–2020; RADKLIM event sample 2001–2020","3,835 precipitation events above 40 mm h⁻¹; 40 documented flash floods linked to 37 rain events","RADKLIM precipitation, ERA5 atmosphere and upper-soil moisture","Radar-event footprint and regional atmospheric field","Event matching and composite comparison","RADKLIM enabled spatial identification of short extreme-rainfall events, but radar artefacts and resolution affect the sample.","The flash-flood catalogue is non-exhaustive and some events are not independent.","§§2.2–2.3; Figs. 4–6","10.5194/hess-26-6163-2022","verified_publisher_and_crossref"
